category,subdir,file,run_class,n_comp,n_units,n_streams,unit_ops,prop_method,in_units,analysis,analysis_kw,kinetics,temp_range,pres_range,n_conn,topology,parse_ok,err
Batch Modeling,Batch Distillation,3phase.bkp,FLOWSHEET,3,1,3,BATCHSEP,UNIF-DMD,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00~1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Azeotrope.bkp,FLOWSHEET,3,1,3,BATCHSEP,NRTL,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Batch evaporator loop.bkp,FLOWSHEET,4,4,7,BATCHOP + FLASH2 + HEATX + PUMP,NRTL / STEAMNBS,METSPEC,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,-,60.00 C,0.78~1.96 bar,4,BATCHOP > FLASH2 > HEATX > PUMP | 4条连接,OK,-
Batch Modeling,Batch Distillation,BenzeneMCBDCB.bkp,FLOWSHEET,3,1,3,BATCHSEP,RK-SOAVE,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00~1.08 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,BenzeneToluene.bkp,FLOWSHEET,3,1,4,BATCHSEP,RK-SOAVE,METCBAR,-,OPTIMIZATION,-,25.00 C,1.00~1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,HeptHexOct.bkp,FLOWSHEET,4,1,3,BATCHSEP,NRTL / PENG-ROB,METCBAR,-,OPTIMIZATION,-,20.00~105.00 C,1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Inverted batch distillation using RADFRAC.bkp,FLOWSHEET,4,4,7,BATCHOP + HEATER + RADFRAC,NRTL,METSPEC,-,OPTIMIZATION CONV-OPTIONS,-,50.00~60.00 C,0.98 bar,4,BATCHOP > HEATER > RADFRAC | 4条连接,OK,-
Batch Modeling,Batch Distillation,Multistep.bkp,FLOWSHEET,4,1,4,BATCHSEP,RK-SOAVE,METCBAR,-,OPTIMIZATION,-,20.00~25.00 C,1.00~14.70 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,Polyester adhesive batch process using RADFRAC.bkp,FLOWSHEET,10,6,10,BATCHOP + FSPLIT + RADFRAC + TRANSFER,POLYNRTL / NRTL,METSPEC,-,OPTIMIZATION CONV-OPTIONS,-,25.00 C,0.98 bar,5,BATCHOP > FSPLIT > RADFRAC > TRANSFER | 5条连接,OK,-
Batch Modeling,Batch Distillation,ReactiveDistillation.bkp,FLOWSHEET,4,1,4,BATCHSEP,NRTL-HOC,METCBAR,-,OPTIMIZATION,POWERLAW,20.00~25.00 C,1.00~1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,RefluxVary.bkp,FLOWSHEET,3,1,3,BATCHSEP,RK-SOAVE,METCBAR,-,OPTIMIZATION,-,20.00 C,1.00~1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,SolventSwap.bkp,FLOWSHEET,4,1,4,BATCHSEP,NRTL,METCBAR,-,OPTIMIZATION,-,25.00~75.00 C,1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Distillation,WaterMethanol.bkp,FLOWSHEET,2,1,3,BATCHSEP,NRTL,METCBAR,DESIGN-SPEC SENSITIVITY,OPTIMIZATION,-,20.00 C,1.01 bar,-,BATCHSEP,OK,-
Batch Modeling,Batch Reaction and Crystallization,Batch Polymerization Kinetic Fitting.bkp,FLOWSHEET,5,1,2,BATCHOP,POLYNRTL,SET1,-,OPTIMIZATION CONV-OPTIONS,-,64.50~65.00 C,0.98 bar,-,BATCHOP,OK,-
Batch Modeling,Batch Reaction and Crystallization,Benzene Chlorination.bkp,FLOWSHEET,6,4,9,BATCHOP + FLASH2 + HEATER,NRTL,METCBAR,-,OPTIMIZATION CONV-OPTIONS,POWERLAW,5.00~80.00 C,1.00~5.00 bar,4,BATCHOP > FLASH2 > HEATER | 4条连接,OK,-
Batch Modeling,Batch Reaction and Crystallization,Mixed Batch-Continuous Process-Sodium Salicylate.bkp,FLOWSHEET,14,17,25,BATCHOP + CYCLONE + DRYER + FLASH2 + FLUIDBED + HEATER + HIERARCHY + MIXER + PUMP + RSTOIC,NRTL,METCBAR,-,OPTIMIZATION,POWERLAW,25.00~220.00 C,-0.01~5.00 bar,12,BATCHOP > CYCLONE > DRYER > FLASH2 > FLUIDBED > HEATER > HIERARCHY > MIXER | 12条连接,OK,-
Batch Modeling,Bioethanol via fermentation,Bioethanol via fermentation.bkp,FLOWSHEET,10,1,4,BATCHOP,BIOIDEAL / SYSOP0 / NRTL,METSPEC,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,-,30.00~34.00 C,0.98~1.18 bar,-,BATCHOP,OK,-
Biofuel and Biochemicals,BDO via fermentation,BDO via fermentation.bkp,FLOWSHEET,14,2,7,BATCHOP + HIERARCHY,BIOIDEAL / SYSOP0 / NRTL,US-1,-,OPTIMIZATION,-,35.00~72.00 C,1.03~3.10 bar,-,BATCHOP > HIERARCHY,OK,-
Biofuel and Biochemicals,Biodiesel,Biodiesel Production from Vegetable Oil.bkp,FLOWSHEET,39,16,27,EXTRACT + HEATER + MIXER + PUMP + RADFRAC + RCSTR + RSTOIC + SEP,UNIF-DMD / NRTL,SET1,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,KINETIC POWERLAW RCSTR,20.00~60.00 C,0.10~4.00 bar,17,EXTRACT > HEATER > MIXER > PUMP > RADFRAC > RCSTR > RSTOIC > SEP | 17条连接,OK,-
Biofuel and Biochemicals,Biomass characterization,Biomass feedstock pure and NC compositions.bkp,FLOWSHEET,30,6,13,MIXER + RSTOIC + SEP,NRTL,SET3,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,20.00~25.00 C,0.98~1.01 bar,5,MIXER > RSTOIC > SEP | 5条连接,OK,-
Biofuel and Biochemicals,Biomass characterization,Biomass feedstock ranzi species.bkp,FLOWSHEET,51,1,2,MIXER,PR-BM,KJCATM,-,OPTIMIZATION,-,25.00 C,0.98 bar,-,MIXER,OK,-
Biofuel and Biochemicals,Biomass pyrolysis\Biomass pyrolysis with RYIELD,Softwood biomass conversion to bio-fuel through pyrolysis with RYIELD.bkp,FLOWSHEET,33,38,54,COMPR + DECANTER + FLASH2 + FSPLIT + HEATER + HEATX + HIERARCHY + MIXER + PUMP + RADFRAC + RSTOIC + RYIELD + SEP + SSPLIT,PR-BM / NRTL,SET3,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,25.00~720.00 C,0.98~2.41 bar,38,COMPR > DECANTER > FLASH2 > FSPLIT > HEATER > HEATX > HIERARCHY > MIXER | 38条连接,OK,-
Bulk Chemicals,Distillation Synthesis,ICPEbegin.bkp,FLOWSHEET,10,8,12,CONSEP + HEATER + MIXER + RADFRAC,NRTL-HOC / UNIQ-HOC / WILS-HOC,-,-,OPTIMIZATION,-,25.00~40.00 C,1.00~6.00 bar,8,CONSEP > HEATER > MIXER > RADFRAC | 8条连接,OK,-
Bulk Chemicals,Distillation,3phase.bkp,FLOWSHEET,4,3,8,DECANTER + HEATER + RADFRAC,NRTL-RK,SET1,-,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,20.00~130.00 C,1.01 bar,3,DECANTER > HEATER > RADFRAC | 3条连接,OK,-
Bulk Chemicals,Ethylene Glycol,Ethylene Glycol Plant Example.bkp,FLOWSHEET,6,15,29,FLASH2 + FSPLIT + HEATER + MIXER + RADFRAC + RPLUG,CPA,SET1,OPTIMIZATION,CONV-OPTIONS,RPLUG,25.00~200.00 C,0.01~35.00 bar,19,FLASH2 > FSPLIT > HEATER > MIXER > RADFRAC > RPLUG | 19条连接,OK,-
Bulk Chemicals,Methanol,methanol synthesis - ici syntex quench reactor process.bkp,FLOWSHEET,16,40,56,COMPR + FLASH2 + FSPLIT + HEATER + HXFLUX + MIXER + PUMP + RADFRAC + RPLUG,SRK / CPA / NRTL / NRTL-RK / PC-SAFT,US-2,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,LHHW POWERLAW RPLUG,25.00~220.10 C,-0.34~80.00 bar,49,COMPR > FLASH2 > FSPLIT > HEATER > HXFLUX > MIXER > PUMP > RADFRAC | 49条连接,OK,-
Bulk Chemicals,Methanol,methanol synthesis lab reactor.bkp,FLOWSHEET,16,2,5,RGIBBS + RPLUG,SRK / NRTL / NRTL-RK / STEAMNBS,SI-CBAR,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,LHHW POWERLAW RPLUG,140.00~498.20 C,40.00~50.00 bar,2,RGIBBS > RPLUG | 2条连接,OK,-
Bulk Chemicals,Methanol,methanol synthesis-data regression.bkp,DRS,16,40,56,COMPR + FLASH2 + FSPLIT + HEATER + HXFLUX + MIXER + PUMP + RADFRAC + RPLUG,SRK / CPA / NRTL / NRTL-RK / PC-SAFT,US-2,-,OPTIMIZATION CONV-OPTIONS,LHHW POWERLAW RPLUG,25.00~220.10 C,-0.34~80.00 bar,49,COMPR > FLASH2 > FSPLIT > HEATER > HXFLUX > MIXER > PUMP > RADFRAC | 49条连接,OK,-
Bulk Chemicals,Methanol,methanol synthesis-lurgi two stage process.bkp,FLOWSHEET,16,33,47,COMPR + FLASH2 + FSPLIT + HEATER + HXFLUX + MIXER + PUMP + RADFRAC + RPLUG,SRK / CPA / NRTL / NRTL-RK / PC-SAFT,US-2,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,LHHW POWERLAW RPLUG,25.00~250.00 C,-0.34~92.00 bar,40,COMPR > FLASH2 > FSPLIT > HEATER > HXFLUX > MIXER > PUMP > RADFRAC | 40条连接,OK,-
Bulk Chemicals,-,Triple-Effect Evaporator.bkp,FLOWSHEET,6,6,14,FLASH2 + HEATER,ELECNRTL / STEAMNBS,METCBAR,DESIGN-SPEC SENSITIVITY,OPTIMIZATION CONV-OPTIONS,-,25.00~200.00 C,0.50~1.01 bar,7,FLASH2 > HEATER | 7条连接,OK,-
Bulk Chemicals,-,advchex.bkp,FLOWSHEET,6,10,19,FLASH2 + FSPLIT + HEATER + MIXER + RADFRAC + RSTOIC,RK-SOAVE / SYSOP3 / STEAM-TA,ENG,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,-,37.80~204.40 C,-1.03~23.10 bar,11,FLASH2 > FSPLIT > HEATER > MIXER > RADFRAC > RSTOIC | 11条连接,OK,-
Bulk Chemicals,-,cumene.bkp,FLOWSHEET,3,3,5,FLASH2 + HEATER + RSTOIC,SRK / STEAMNBS,ENG,DESIGN-SPEC SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,54.40~104.40 C,-0.01~2.48 bar,3,FLASH2 > HEATER > RSTOIC | 3条连接,OK,-
Bulk Chemicals,-,mchpfd.bkp,FLOWSHEET,3,1,4,RADFRAC,UNIFAC,ENG,-,OPTIMIZATION,-,104.40 C,1.10~1.39 bar,-,RADFRAC,OK,-
Bulk Chemicals,-,pfdtut.bkp,FLOWSHEET,5,6,12,FLASH2 + FSPLIT + HEATER + RADFRAC + RSTOIC,RK-SOAVE,ENG,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,-,37.80~204.40 C,-1.03~23.10 bar,7,FLASH2 > FSPLIT > HEATER > RADFRAC > RSTOIC | 7条连接,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_AMP_Model.bkp,FLOWSHEET,16,2,7,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,41.00~99.00 C,0.98~1.96 bar,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_DEA+MDEA_Model.bkp,FLOWSHEET,24,1,4,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,26.70~47.80 C,-,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_DEA_Model.bkp,FLOWSHEET,19,2,7,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,22.20~100.00 C,63.07 bar,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_DGA_Model.bkp,FLOWSHEET,17,1,4,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,31.10~48.30 C,-,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_DIPA_Model.bkp,FLOWSHEET,19,1,4,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,22.20~38.90 C,-,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_K2CO3_Model.bkp,FLOWSHEET,17,2,8,RADFRAC,ELECNRTL,US-2,-,OPTIMIZATION,KINETIC REAC-DIST,25.00~56.90 C,-,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_MDEA_Model.bkp,FLOWSHEET,16,1,4,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,32.20~43.90 C,55.00~55.16 bar,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_MEA+MDEA_Model.bkp,FLOWSHEET,18,1,4,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,24.90 C,0.98 bar,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_MEA_Model.bkp,FLOWSHEET,16,4,8,HEATER + PUMP + RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,40.20~81.20 C,0.98 bar,3,HEATER > PUMP > RADFRAC | 3条连接,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_NH3_Model.bkp,FLOWSHEET,14,2,6,FLASH2,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,15.60~60.00 C,0.98 bar,1,FLASH2 | 1条连接,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_NaOH_Model.bkp,FLOWSHEET,14,1,4,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION,KINETIC REAC-DIST,20.00~21.00 C,1.01~1.03 bar,-,RADFRAC,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_PZ+MDEA_Model.bkp,FLOWSHEET,18,1,4,FLASH2,ELECNRTL,US-1,-,OPTIMIZATION,KINETIC REAC-DIST,40.00 C,0.98 bar,-,FLASH2,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_PZ+MEA_Model.bkp,FLOWSHEET,19,1,4,FLASH2,ELECNRTL,US-1,-,OPTIMIZATION,KINETIC REAC-DIST,40.00 C,0.98 bar,-,FLASH2,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_PZ_Model.bkp,FLOWSHEET,16,1,4,FLASH2,ELECNRTL,US-1,-,OPTIMIZATION,KINETIC REAC-DIST,40.00 C,-,-,FLASH2,OK,-
Carbon Capture,Amines ELECNRTL,ELECNRTL_Rate_Based_TEA_Model.bkp,FLOWSHEET,12,1,4,RADFRAC,ELECNRTL,SI,-,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,49.00~69.00 C,28.70~28.80 bar,-,RADFRAC,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_DEA_Model.bkp,FLOWSHEET,19,2,7,RADFRAC,ENRTL-RK / PC-SAFT,SI,-,OPTIMIZATION,KINETIC REAC-DIST,22.20~100.00 C,-,-,RADFRAC,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_DGA_Model.bkp,FLOWSHEET,17,8,16,HEATER + HEATX + MIXER + PUMP + RADFRAC,ENRTL-RK,SET1,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,12.00~112.10 C,0.98~2.40 bar,10,HEATER > HEATX > MIXER > PUMP > RADFRAC | 10条连接,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_DIPA_Model.bkp,FLOWSHEET,16,7,15,HEATER + HEATX + MIXER + RADFRAC,ENRTL-RK,SET1,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,12.80~122.60 C,1.00~2.40 bar,9,HEATER > HEATX > MIXER > RADFRAC | 9条连接,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_MDEA_Model.bkp,FLOWSHEET,16,9,17,CHARGEBAL + HEATER + HEATX + MIXER + RADFRAC,ENRTL-RK,SET1,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,15.00~118.50 C,0.98~2.40 bar,11,CHARGEBAL > HEATER > HEATX > MIXER > RADFRAC | 11条连接,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_MEA_Model.bkp,FLOWSHEET,19,10,19,FLASH2 + HEATER + HEATX + MIXER + PUMP + RADFRAC,ENRTL-RK,SET1,DESIGN-SPEC,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,15.00~120.40 C,0.00~2.90 bar,12,FLASH2 > HEATER > HEATX > MIXER > PUMP > RADFRAC | 12条连接,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_NH3_Model.bkp,FLOWSHEET,14,2,6,FLASH2,ENRTL-RK,SI,-,OPTIMIZATION,KINETIC REAC-DIST,15.60~60.00 C,0.98 bar,1,FLASH2 | 1条连接,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_PZ+MDEA_Model.bkp,FLOWSHEET,21,8,17,HEATER + HEATX + MIXER + PUMP + RADFRAC,ENRTL-RK / PC-SAFT,MET,CALCULATOR,DESIGN-SPEC OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,12.00~121.50 C,0.97~2.81 bar,10,HEATER > HEATX > MIXER > PUMP > RADFRAC | 10条连接,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_PZ_Model.bkp,FLOWSHEET,19,1,4,FLASH2,ENRTL-RK,SI,-,OPTIMIZATION,KINETIC REAC-DIST,40.00 C,0.98 bar,-,FLASH2,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_Sulfolane-DIPA_Model.bkp,FLOWSHEET,15,1,4,FLASH2,ENRTL-RK,SI,-,OPTIMIZATION,KINETIC REAC-DIST,40.00 C,9.81 bar,-,FLASH2,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_Sulfolane-MDEA_Model.bkp,FLOWSHEET,16,1,4,FLASH2,ENRTL-RK,SI,-,OPTIMIZATION,KINETIC REAC-DIST,40.00 C,49.03 bar,-,FLASH2,OK,-
Carbon Capture,Amines ENRTL-RK,ENRTL-RK_Rate_Based_TEA_Model.bkp,FLOWSHEET,18,5,10,HEATER + MIXER + PUMP + RADFRAC,ENRTL-RK / PC-SAFT,SI,-,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,28.50~68.50 C,1.72~34.13 bar,5,HEATER > MIXER > PUMP > RADFRAC | 5条连接,OK,-
Carbon Capture,Industrial Scale,CO2 and H2S Removal using K2CO3.bkp,FLOWSHEET,17,10,16,CHARGEBAL + FLASH2 + HEATER + MIXER + PUMP + RADFRAC + VALVE,ENRTL-RK,SI,CALCULATOR,OPTIMIZATION,KINETIC REAC-DIST,30.00~100.00 C,1.01~21.70 bar,10,CHARGEBAL > FLASH2 > HEATER > MIXER > PUMP > RADFRAC > VALVE | 10条连接,OK,-
Carbon Capture,Industrial Scale,CO2 capture from coal power plant using MEA.bkp,FLOWSHEET,14,10,18,CHARGEBAL + HEATER + MAKEUP + PUMP + RADFRAC,ENRTL-RK,METCBAR,-,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,20.00~80.00 C,1.00~1.08 bar,12,CHARGEBAL > HEATER > MAKEUP > PUMP > RADFRAC | 12条连接,OK,-
Carbon Capture,Industrial Scale,CO2 capture from natural gas power plant using MEA.bkp,FLOWSHEET,14,10,18,CHARGEBAL + HEATER + MAKEUP + PUMP + RADFRAC,ENRTL-RK,METCBAR,-,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,20.00~70.00 C,1.00~1.30 bar,12,CHARGEBAL > HEATER > MAKEUP > PUMP > RADFRAC | 12条连接,OK,-
Carbon Capture,Industrial Scale,CO2 capture from syngas for IGCC using DEPG.bkp,FLOWSHEET,9,14,21,COMPR + FLASH2 + HEATER + MIXER + PUMP + RADFRAC + SEP,PC-SAFT,METCBAR,-,OPTIMIZATION,-,12.80~50.00 C,0.76~68.95 bar,17,COMPR > FLASH2 > HEATER > MIXER > PUMP > RADFRAC > SEP | 17条连接,OK,-
Carbon Capture,Industrial Scale,CO2 capture from syngas for IGCC using MEA.bkp,FLOWSHEET,17,9,16,CHARGEBAL + HEATER + MAKEUP + PUMP + RADFRAC + VALVE,ENRTL-RK,METCBAR,-,OPTIMIZATION CONV-OPTIONS,KINETIC REAC-DIST,20.00~93.30 C,1.01~17.24 bar,10,CHARGEBAL > HEATER > MAKEUP > PUMP > RADFRAC > VALVE | 10条连接,OK,-
Carbon Capture,Industrial Scale,CO2 capture using K2CO3.bkp,FLOWSHEET,15,10,16,CHARGEBAL + FLASH2 + HEATER + MIXER + PUMP + RADFRAC + VALVE,ENRTL-RK,SI,CALCULATOR,OPTIMIZATION,KINETIC REAC-DIST,40.00~100.00 C,1.01~21.70 bar,10,CHARGEBAL > FLASH2 > HEATER > MIXER > PUMP > RADFRAC > VALVE | 10条连接,OK,-
Carbon Capture,Physical Solvents,Aspen_Plus_DEPG_Model.bkp,FLOWSHEET,13,2,8,RADFRAC,PC-SAFT,ENG,-,OPTIMIZATION,-,-1.10~20.10 C,16.89~68.95 bar,-,RADFRAC,OK,-
Carbon Capture,Physical Solvents,Aspen_Plus_NMP_Model.bkp,FLOWSHEET,30,1,4,RADFRAC,PC-SAFT,US-1,-,OPTIMIZATION,-,-1.10~20.10 C,16.89~17.24 bar,-,RADFRAC,OK,-
