category,subdir,file,run_class,n_comp,n_units,n_streams,unit_ops,prop_method,in_units,analysis,analysis_kw,kinetics,temp_range,pres_range,n_conn,topology,parse_ok,err
Hydrogen,Ammonia decomposition,Ammonia decomposition furnace reactor.bkp,FLOWSHEET,10,32,32,COMPR + FSPLIT + HEATER + HXFLUX + PUMP + RGIBBS + RPLUG,PC-SAFT / NRTL / REFPROP / STEAMNBS,US-3,DESIGN-SPEC SENSITIVITY CALCULATOR,OPTIMIZATION CONV-OPTIONS,POWERLAW RPLUG,20.00~1236.40 C,-0.01~20.00 bar,28,COMPR > FSPLIT > HEATER > HXFLUX > PUMP > RGIBBS > RPLUG | 28条连接,OK,-
Hydrogen,Liquefaction,Alternative single mixed refrigerant (SMR+) PRICO precooling.bkp,FLOWSHEET,10,15,22,ANALYZER + COMPR + FLASH2 + HEATER + MHEATX + MIXER + PUMP + VALVE,HYSPR / PENG-ROB,H2,DESIGN-SPEC SENSITIVITY,OPTIMIZATION CONV-OPTIONS,-,-24.70~26.90 C,3.00~80.00 bar,16,ANALYZER > COMPR > FLASH2 > HEATER > MHEATX > MIXER > PUMP > VALVE | 16条连接,OK,-
Hydrogen,Liquefaction,Cascade mixed refrigerant (CMR) precooling.bkp,FLOWSHEET,10,18,29,COMPR + FLASH2 + HEATER + MHEATX + MIXER + PUMP + VALVE,HYSPR / PENG-ROB,H2,-,OPTIMIZATION CONV-OPTIONS,-,-66.70~26.90 C,4.00~80.00 bar,23,COMPR > FLASH2 > HEATER > MHEATX > MIXER > PUMP > VALVE | 23条连接,OK,-
Hydrogen,Liquefaction,H2 cryogenic process.bkp,FLOWSHEET,15,62,96,COMPR + FLASH2 + HEATER + MHEATX + MIXER + PUMP + VALVE,HYSPR,H2,-,OPTIMIZATION CONV-OPTIONS,-,-252.30~25.00 C,0.46~30.00 bar,88,COMPR > FLASH2 > HEATER > MHEATX > MIXER > PUMP > VALVE | 88条连接,OK,-
Hydrogen,Liquefaction,Single mixed refrigerant (SMR) PRICO precooling.bkp,FLOWSHEET,10,7,12,ANALYZER + COMPR + HEATER + MHEATX + VALVE,HYSPR / PENG-ROB,H2,DESIGN-SPEC,OPTIMIZATION,-,-4.60~26.90 C,4.00~80.00 bar,8,ANALYZER > COMPR > HEATER > MHEATX > VALVE | 8条连接,OK,-
Metals and Minerals,-,Blast Furnace for Production of Iron.bkp,FLOWSHEET,13,6,17,MHEATX + MIXER + RGIBBS,SOLIDS,SET1,-,OPTIMIZATION CONV-OPTIONS,-,20.00~2445.00 C,5.00 bar,10,MHEATX > MIXER > RGIBBS | 10条连接,OK,-
Metals and Minerals,-,Caustic Evaporators.bkp,FLOWSHEET,31,2,5,FLASH2,ENRTL-RK,US-1,-,OPTIMIZATION,-,75.00~130.00 C,0.12~1.00 bar,1,FLASH2 | 1条连接,OK,-
Metals and Minerals,-,Iron Process Acid Regeneration.bkp,FLOWSHEET,22,3,8,FLASH2 + RGIBBS,ELECNRTL / ENRTL-RK / IDEAL / NRTL,METHYDRO,-,OPTIMIZATION,-,25.00~96.00 C,0.95~2.00 bar,2,FLASH2 > RGIBBS | 2条连接,OK,-
Midstream,Dehydration,teg.bkp,FLOWSHEET,21,1,4,RADFRAC,SR-POLAR / NRTL-RK,ENG,SENSITIVITY,OPTIMIZATION CONV-OPTIONS,-,29.40~40.60 C,34.47~41.37 bar,-,RADFRAC,OK,-
Midstream,NGL,ngl.bkp,FLOWSHEET,16,6,11,COMPR + FLASH2 + HEATER + MHEATX + PUMP + RADFRAC,RK-SOAVE / BK10 / BWR-LS / PENG-ROB,ENG,SENSITIVITY,OPTIMIZATION CALCULATOR,-,65.60 C,-0.69~68.95 bar,6,COMPR > FLASH2 > HEATER > MHEATX > PUMP > RADFRAC | 6条连接,OK,-
PVT Experiments,PR,Constant_Mass_Expansion_PR_Model_Tuning_Step I.bkp,FLOWSHEET,22,52,82,FLASH2 + MIXER,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,155.00 C,146.20~607.95 bar,52,FLASH2 > MIXER | 52条连接,OK,-
PVT Experiments,PR,Constant_Mass_Expansion_PR_Model_Tuning_Step II.bkp,FLOWSHEET,22,52,82,FLASH2 + MIXER,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,155.00 C,146.20~607.95 bar,52,FLASH2 > MIXER | 52条连接,OK,-
PVT Experiments,PR,Constant_Volume_Depletion_PR_Model_Tuning_Step I.bkp,FLOWSHEET,22,23,39,FLASH2 + FSPLIT + MIXER,PENG-ROB,SI,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,150.50 C,49.30~400.00 bar,29,FLASH2 > FSPLIT > MIXER | 29条连接,OK,-
PVT Experiments,PR,Constant_Volume_Depletion_PR_Model_Tuning_Step II.bkp,FLOWSHEET,22,23,39,FLASH2 + FSPLIT + MIXER,PENG-ROB,SI,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,150.50 C,49.30~400.00 bar,29,FLASH2 > FSPLIT > MIXER | 29条连接,OK,-
PVT Experiments,PR,Differential_Liberation_PR_Model_Tuning_Step I.bkp,FLOWSHEET,13,18,39,FLASH2,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.50 C,1.00~405.30 bar,18,FLASH2 | 18条连接,OK,-
PVT Experiments,PR,Differential_Liberation_PR_Model_Tuning_Step II.bkp,FLOWSHEET,13,18,39,FLASH2,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.50 C,1.00~405.30 bar,18,FLASH2 | 18条连接,OK,-
PVT Experiments,PR,Separator_Test_PR_Model_Tuning_Step I.bkp,FLOWSHEET,14,6,13,FLASH2,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.80 C,1.00~200.00 bar,5,FLASH2 | 5条连接,OK,-
PVT Experiments,PR,Separator_Test_PR_Model_Tuning_Step II.bkp,FLOWSHEET,14,6,13,FLASH2,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.80 C,1.00~200.00 bar,5,FLASH2 | 5条连接,OK,-
PVT Experiments,PR,Swelling_Test_PR_Model_Tuning_Step I.bkp,FLOWSHEET,22,5,16,FLASH2,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,73.00 C,200.00~340.00 bar,4,FLASH2 | 4条连接,OK,-
PVT Experiments,PR,Swelling_Test_PR_Model_Tuning_Step II.bkp,FLOWSHEET,22,5,15,FLASH2,PENG-ROB,SI,CALCULATOR,OPTIMIZATION,-,73.00 C,200.00~340.00 bar,4,FLASH2 | 4条连接,OK,-
